model_name,task_type,description,best_config,base_Accuracy,base_Precision,base_Recall,base_F1,base_Confusion_Matrix,base_AUC,trading_WinRate,trading_ROI,trading_Sharpe,trading_TotalTrades,trading_AvgReturn,trading_algo_returns_mean,trading_algo_returns_std,base_MAE,base_RMSE,base_MSE
LSTM_sign,sign,2-layer LSTM for direction prediction,"{'hidden_size': 64, 'num_layers': 1, 'dropout_rate': 0.6, 'dense_units': 128}",0.712363330529857,0.0,0.0,0.0,"[[644, 163], [179, 203]]",0.7817331335110973,0.40706476030277544,33.197022156449286,2.786738057060155,1189,0.027920119559671393,0.027920119559671393,0.15904550356198652,,,
LSTM_price,price,2-layer LSTM for price prediction,"{'hidden_size': 32, 'num_layers': 2, 'dropout_rate': 0.2, 'dense_units': 32}",,,,,,,0.3633305298570227,-1.8492541670780878,-0.15290544986338422,1189,-0.0015553020749184926,-0.0015553020749184926,0.16147007869871113,0.10025115238370712,0.16357817051334134,0.026757817868491775
GRU_sign,sign,2-layer GRU for direction prediction,"{'hidden_size': 128, 'num_layers': 2, 'dropout_rate': 0.4, 'dense_units': 128}",0.7140454163162321,0.0,0.0,0.0,"[[657, 150], [190, 192]]",0.7853370702686571,0.4053826745164003,31.69276528812631,2.656839055173585,1189,0.026654975011039788,0.026654975011039788,0.15926241737043004,,,
GRU_price,price,2-layer GRU for price prediction,"{'hidden_size': 128, 'num_layers': 2, 'dropout_rate': 0.5, 'dense_units': 64}",,,,,,,0.3801513877207738,16.00445146470263,1.3278870317865477,1189,0.013460430163753263,0.013460430163753263,0.1609155744461018,0.1011746875835469,0.161305065248653,0.026019324074872202
RF_sign,sign,Random Forest for direction prediction,,0.71404821280133,0.0,0.0,0.0,"[[677, 139], [205, 182]]",0.7754613796422962,0.4014962593516209,33.01508317482193,2.735279439480827,1203,0.027443959413817068,0.027443959413817068,0.15927416530508137,,,
RNN_sign,sign,Simple RNN for direction prediction,"{'hidden_size': 64, 'num_layers': 1, 'dropout_rate': 0.0, 'dense_units': 64}",0.695542472666106,0.0,0.0,0.0,"[[705, 102], [260, 122]]",0.7558146324373771,0.3776282590412111,21.95089328440681,1.8269030711191847,1189,0.018461642795968722,0.018461642795968722,0.16041874274780446,,,
RNN_price,price,Simple RNN for price prediction,"{'hidden_size': 64, 'num_layers': 3, 'dropout_rate': 0.4, 'dense_units': 64}",,,,,,,0.3700588730025231,21.03506130984962,1.7497348467293885,1189,0.017691388822413473,0.017691388822413473,0.16050551405184307,0.09933302351762491,0.16137609313688236,0.02604224343612373
BiRNN_sign,sign,Bidirectional RNN for direction prediction,"{'hidden_size': 64, 'num_layers': 1, 'dropout_rate': 0.1, 'dense_units': 128}",0.7064760302775441,0.0,0.0,0.0,"[[703, 104], [245, 137]]",0.7624126588684093,0.3894028595458368,22.095920315584408,1.839134680021989,1189,0.01858361674986073,0.01858361674986073,0.16040465849845664,,,
BiRNN_price,price,Bidirectional RNN for price prediction,"{'hidden_size': 32, 'num_layers': 2, 'dropout_rate': 0.1, 'dense_units': 64}",,,,,,,0.37174095878889823,18.493801466340543,1.5362310798868124,1189,0.015554080291287253,0.015554080291287253,0.16072671173704886,0.10039801284756816,0.16103225437895574,0.025931386950368715
RNNATTN_sign,sign,SimpleRNN + Attention for direction prediction,"{'hidden_size': 64, 'num_layers': 3, 'dropout_rate': 0.30000000000000004, 'dense_units': 128}",0.6947014297729184,0.0,0.0,0.0,"[[724, 83], [280, 102]]",0.7434749605870103,0.3776282590412111,15.154038918555477,1.2568736161755982,1189,0.012745196735538668,0.012745196735538668,0.16097380296086883,,,
RNNATTN_price,price,SimpleRNN + Attention for price prediction,"{'hidden_size': 64, 'num_layers': 1, 'dropout_rate': 0.30000000000000004, 'dense_units': 64}",,,,,,,0.368376787216148,10.722589883998321,0.8879412725818648,1189,0.009018158018501532,0.009018158018501532,0.16122555041142067,0.09606398680280817,0.1607227333961538,0.025831797030331134
